,Acer,Apple,Asus,Axioo,Dell,Fujitsu,Hp,Lenovo,Toshiba
Acer,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0
Apple,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asus,0.1,0.0,0.7,0.1,0.0,0.0,0.05,0.05,0.0
Axioo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dell,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fujitsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hp,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.6428571428571429,0.2857142857142857,0.0
Lenovo,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.875,0.0
Toshiba,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
